"","X","CaseOrder","Customer_id","Interaction","City","State","County","Zip","Lat","Lng","Population","Area","Timezone","Job","Children","Age","Education","Employment","Income","Marital","Gender","Churn","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Contract","Port_modem","Tablet","InternetService","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","PaymentMethod","Tenure","MonthlyCharge","Bandwidth_GB_Year","item1","item2","item3","item4","item5","item6","item7","item8"
"9",9,9,"M716771","05a49ee3-8fd5-453a-a5f3-82b6cd986856","Saint Cloud","FL","Osceola",34771,28.27646,-81.16273,17351,"Suburban","America/New_York","Teaching laboratory technician",2,49,"Some College, Less than 1 Year","Full Time",58634.51,"Separated","Prefer not to answer","No",6.637258801,20,2,3,"No","Month-to-month","Yes","No","DSL","Yes","No","Yes","Yes","No","No","No","No","Yes","Bank Transfer(automatic)",8.220686373,118.3668439,1312.874964,5,4,4,3,4,3,4,4
"172",172,172,"P954849","7ec593ca-82bd-4a03-8359-ab20212e3ce7","Valley Stream","NY","Nassau",11580,40.67495,-73.70356,2589,"Suburban","America/New_York","Geologist, wellsite",1,31,"Some College, 1 or More Years, No Degree","Full Time",35321.46,"Married","Male","Yes",11.71135346,11,0,3,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","No","Yes","No","No","Yes","No","Credit Card (automatic)",36.63634,161.0835097,1522.289512,2,3,3,5,4,3,2,3
"593",593,593,"X987521","c09f56b6-1b05-46ea-b33c-8d9fed4dea5c","Westerville","OH","Franklin",43081,40.11064,-82.89134,2589,"Suburban","America/New_York","Surveyor, building",2,80,"9th Grade to 12th Grade, No Diploma","Full Time",33168.88,"Married","Male","Yes",10.28180131,10,0,3,"No","Month-to-month","Yes","Yes","None","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Electronic Check",15.37990405,206.9305175,1795.270512,2,3,2,3,4,2,1,3
"622",622,622,"S636055","bba47549-f3bb-46d7-b4f3-1c4effa75b3b","Marlton","NJ","Burlington",8053,39.86049,-74.89466,2589,"Rural","America/New_York","Energy manager",1,43,"9th Grade to 12th Grade, No Diploma","Full Time",14900.46,"Divorced","Female","Yes",10.99339536,10,2,3,"No","Month-to-month","Yes","No","None","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","Credit Card (automatic)",1.445148407,163.4173567,3493.512,3,2,3,3,4,3,1,4
"711",711,711,"D835743","bb819937-28f7-4793-ad60-bd9f33e3777e","Farrell","MS","Coahoma",38630,34.27882,-90.68558,291,"Urban","America/Chicago","Buyer, retail",1,48,"Doctorate Degree","Full Time",24034.97,"Divorced","Male","Yes",9.919832523,16,2,3,"Yes","Month-to-month","Yes","Yes","DSL","Yes","No","No","Yes","No","No","No","Yes","No","Electronic Check",5.567028377,149.9930941,1207.740526,3,4,4,3,3,5,4,4
"858",858,858,"O763178","2aa399af-3edf-4df2-9443-88a82958d719","Pontiac","IL","Livingston",61764,40.88228,-88.62818,14026,"Rural","America/Chicago","Translator",1,53.2995298858294,"Master's Degree","Full Time",27405.08,"Divorced","Female","No",10.3976044,9,2,3,"No","One year","No","No","DSL","Yes","Yes","No","No","Yes","No","Yes","No","Yes","Electronic Check",4.475652318,162.4848299,3493.512,5,3,4,4,2,4,5,3
"1109",1109,1109,"J787742","2331217b-389f-4a8e-b7d6-2c0d0e1951ea","Fulton","MO","Callaway",65251,38.8471,-91.97837,21734,"Rural","America/Chicago","Engineer, mining",0,21,"Associate's Degree","Full Time",20056.65,"Separated","Female","Yes",15.91788992,9,1,3,"Yes","Month-to-month","Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","No","No","No","Mailed Check",1.763317472,129.7429414,746.9528584,3,3,4,3,4,2,4,5
"1117",1117,1117,"X106926","48e9880b-977a-405b-ad8c-c8efe6c34963","Fackler","AL","Jackson",35746,34.82902,-85.99594,604,"Suburban","America/Chicago","Geophysical data processor",0,53.2995298858294,"9th Grade to 12th Grade, No Diploma","Student",70839,"Married","Female","No",12.65012395,7,3,4,"No","One year","No","No","DSL","Yes","No","No","No","Yes","Yes","No","No","Yes","Credit Card (automatic)",1.291871699,117.7973459,699.4793992,4,4,3,2,3,3,2,3
"1190",1190,1190,"H358470","d1ad84e5-e28b-4a41-b7e5-79b03027f21f","Winsted","MN","McLeod",55395,44.95343,-94.06545,2898,"Suburban","America/Chicago","Video editor",1,77,"Bachelor's Degree","Retired",19383.74,"Divorced","Female","No",6.799817706,15,2,3,"Yes","Month-to-month","No","Yes","Fiber Optic","Yes","Yes","No","No","Yes","No","No","No","Yes","Electronic Check",36.63634,156.1390811,278.9942907,3,3,3,2,6,3,2,3
"1229",1229,1229,"N241441","5ec6e2d0-5c03-4051-b3df-3339a052a74a","Atlasburg","PA","Washington",15004,40.3452,-80.38118,423,"Urban","America/New_York","Engineer, communications",1,48,"Regular High School Diploma","Part Time",67035.46,"Divorced","Male","No",13.57582881,17,0,4,"No","Two Year","No","No","Fiber Optic","Yes","No","Yes","Yes","Yes","No","No","No","No","Credit Card (automatic)",3.852627275,162.7683421,720.333405,2,2,3,2,3,2,3,2
