"","X","CaseOrder","Customer_id","Interaction","City","State","County","Zip","Lat","Lng","Population","Area","Timezone","Job","Children","Age","Education","Employment","Income","Marital","Gender","Churn","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Contract","Port_modem","Tablet","InternetService","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","PaymentMethod","Tenure","MonthlyCharge","Bandwidth_GB_Year","item1","item2","item3","item4","item5","item6","item7","item8"
"47",47,47,"B609739","bb4a7c2d-6524-41d6-b2ed-f7511509ff5b","Peoria","IL","Peoria",61606,40.6998,-89.61143,7870,"Suburban","America/Chicago","Broadcast presenter",1,23,"Associate's Degree","Retired",132116.33,"Divorced","Male","Yes",12.60910718,11,1,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Bank Transfer(automatic)",22.25746016,185.0719404,2384.885909,4,4,5,2,2,4,3,3
"471",471,471,"Q585011","e018df7d-ad42-41c7-9971-75ddf0a3f9ee","Saint Marie","MT","Valley",59231,48.39806,-106.54796,489,"Rural","America/Denver","Surveyor, land/geomatics",2,53.2995298858294,"Master's Degree","Retired",156740.67,"Married","Male","Yes",13.23416842,13,1,0,"No","Month-to-month","Yes","Yes","Fiber Optic","Yes","Yes","No","Yes","No","No","Yes","No","No","Bank Transfer(automatic)",1.092219692,192.2164178,499.7170655,3,4,4,3,4,3,2,3
"512",512,512,"X286988","9fb14b9f-a39c-48bc-9cdf-3cad65435793","Ardmore","TN","Giles",38449,35.0482,-86.82587,2494,"Urban","America/Chicago","Occupational hygienist",1,58,"9th Grade to 12th Grade, No Diploma","Full Time",146494.7,"Separated","Male","No",8.749000467,14,2,0,"No","One year","No","No","DSL","Yes","No","No","No","No","No","No","No","No","Credit Card (automatic)",8.792119046,91.94775013,1216.325478,3,3,3,3,4,4,3,4
"514",514,514,"S785720","9d8175d3-0f49-420e-abdf-3529c326a56c","Ponce","PR","Ponce",731,18.09775,-66.63355,12722,"Suburban","America/Puerto_Rico","Teacher, adult education",0,26,"Some College, 1 or More Years, No Degree","Part Time",159315.5,"Divorced","Female","Yes",9.956447326,13,0,1,"Yes","Month-to-month","Yes","Yes","DSL","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Electronic Check",36.63634,232.4943908,2140.402985,4,5,3,4,3,5,4,4
"689",689,689,"G755151","a474b662-a096-453e-8d78-fe09a52560c0","Mount Solon","VA","Augusta",22843,38.36852,-79.16036,2476,"Rural","America/New_York","Retail manager",2,53.2995298858294,"Regular High School Diploma","Full Time",168097.1,"Widowed","Female","No",10.45345249,12,0,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Mailed Check",8.019086021,192.2308161,985.0943424,3,3,4,3,2,4,3,1
"958",958,958,"I916859","331b0d9e-cdb1-4992-a8a1-59a0cff53cd4","Rowland","NC","Robeson",28383,34.5755,-79.26576,8854,"Suburban","America/New_York","Professor Emeritus",0,53.2995298858294,"Some College, 1 or More Years, No Degree","Part Time",131500.47,"Never Married","Male","Yes",11.80754139,16,1,1,"No","Two Year","Yes","Yes","Fiber Optic","Yes","No","No","No","Yes","No","Yes","Yes","No","Electronic Check",16.66213522,219.5300045,1943.761302,5,3,4,5,2,5,5,2
"1001",1001,1001,"D59575","387a8b3a-36b0-4939-acc3-b8d82f6f4828","Euclid","OH","Cuyahoga",44123,41.60379,-81.52419,16515,"Rural","America/New_York","Community development worker",2,67,"Some College, Less than 1 Year","Retired",154718.85,"Widowed","Female","Yes",10.1618691,6,0,0,"No","Month-to-month","Yes","Yes","Fiber Optic","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Bank Transfer(automatic)",16.62593689,243.0378369,1919.29861,5,4,4,3,3,4,2,4
"1116",1116,1116,"W698821","010841a2-d700-4fc5-92fa-5a5c1e264a9c","Texhoma","OK","Texas",73949,36.57949,-101.92065,1523,"Suburban","America/Chicago","Risk manager",3,53.2995298858294,"Master's Degree","Full Time",132334.77,"Separated","Male","No",13.3492891,9,0,0,"No","One year","No","Yes","Fiber Optic","No","Yes","No","No","No","No","Yes","Yes","Yes","Mailed Check",17.56356483,240.3377651,2136.125116,4,3,3,3,4,2,5,3
"1298",1298,1298,"E505861","55c15886-fb37-4664-8da5-12e714d79601","Exeter","ME","Penobscot",4435,44.96435,-69.13539,1069,"Urban","America/New_York","Forensic scientist",3,74,"Regular High School Diploma","Unemployed",135171.31,"Divorced","Female","No",5.33309079,10,0,0,"No","One year","Yes","No","Fiber Optic","Yes","Yes","No","No","No","No","No","No","No","Electronic Check",7.273510936,145.5043103,677.1757219,4,3,4,2,5,4,2,4
"1492",1492,1492,"D47888","5d4ad04a-ec9c-4185-82ec-ac3c3dfe2bd2","Pottersdale","PA","Clearfield",16871,41.18599,-78.02609,40,"Rural","America/New_York","Mudlogger",1,51,"Master's Degree","Part Time",149502.87,"Separated","Male","Yes",13.36770487,14,0,0,"No","Month-to-month","Yes","No","DSL","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Electronic Check",36.63634,163.9743416,1203.486183,3,2,3,4,3,3,4,3
