"MonthlyCharge","Tenure","Children","Age","Email","Population","Bandwidth_GB_Year","Port_modem","Tablet","InternetService_Fiber_Optic","InternetService_DSL","Phone","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies"
172.455519,6.795512947,0,68,10,38,904.5361102,1,1,1,0,1,1,1,0,0,0,1
242.632554,1.156680997,1,27,12,10446,800.9827661,0,1,1,0,1,1,0,0,0,1,1
159.947583,15.75414408,4,50,9,3735,2054.706961,1,0,0,1,1,0,0,0,0,0,1
119.95684,17.08722662,1,48,15,13863,2164.579412,0,0,0,1,1,1,0,0,0,1,0
149.948316,1.670971726,0,83,16,11352,271.4934362,1,0,1,0,0,0,0,0,1,1,0
185.007692,7.000993555,3,83,15,17701,1039.357983,1,0,0,0,1,1,1,1,0,0,1
200.118516,13.23677381,0,79,10,2535,1907.242972,0,0,0,1,1,0,0,0,1,1,1
114.950905,4.26425515,2,30,16,23144,979.6127078,0,0,0,1,0,0,1,0,0,0,0
117.468591,8.220686373,2,49,20,17351,1312.874964,1,0,0,1,1,1,1,0,0,0,0
162.482694,3.422086139,1,86,18,20193,508.7637913,1,0,1,0,1,1,0,1,0,0,1
174.958118,19.26726194,7,23,9,555,2728.767869,0,0,0,1,1,1,1,0,0,1,0
149.962093,10.52199781,2,56,17,33372,1180.588788,1,0,1,0,1,0,0,1,0,1,0
137.439154,13.01149229,0,83,9,556,1196.388018,1,0,1,0,1,0,0,0,0,1,0
159.965581,10.06019902,1,30,10,8165,1582.295235,0,0,0,1,0,0,1,0,1,0,0
177.65076,13.87001293,3,39,13,2093,1840.014467,0,0,0,0,1,1,0,0,0,1,1
194.966286,15.78214958,0,63,13,50079,2070.376729,1,0,0,1,1,0,1,1,0,0,1
202.682861,2.303331273,2,60,16,7249,882.0985933,0,0,0,0,1,1,0,1,1,1,1
152.490739,17.10995632,3,61,11,9463,1833.0967,1,0,0,0,1,0,1,1,1,1,0
149.944668,12.80615845,3,23,10,3177,1954.080809,1,0,0,1,1,0,0,0,0,1,0
184.978458,20.45390977,4,38,14,69,2330.319383,0,0,1,0,1,1,1,1,0,0,1
127.495766,2.415991977,3,30,18,14440,594.1054279,0,1,1,0,1,1,0,1,0,0,0
124.964303,6.652298992,3,52,16,381,713.0633088,0,0,1,0,1,0,0,0,1,0,0
149.948316,8.543717478,2,68,9,2193,945.3802928,1,0,1,0,1,0,0,0,1,1,0
162.511928,5.770390256,3,75,15,9434,870.76398,0,1,0,0,1,1,0,1,0,0,1
92.455141,4.157658837,1,77,12,29568,774.2937069,0,1,0,1,1,0,0,0,0,0,0
222.649979,10.40566091,1,47,15,3089,1506.446527,1,0,1,0,1,1,0,1,0,1,1
139.981577,1.392421597,0,70,12,5652,419.0508708,1,0,0,0,1,0,1,1,0,1,0
200.132293,1.430386349,3,20,13,1716,1259.415493,0,0,0,1,1,0,0,1,0,1,1
257.651257,5.425864884,4,69,18,52484,1745.125956,0,1,0,1,1,1,1,1,0,1,1
230.105118,11.08287797,9,45,14,11268,1795.465729,1,0,1,0,0,0,1,0,0,1,1
147.489301,3.586184954,0,40,13,1765,492.4771472,0,1,0,0,1,0,1,0,1,0,0
230.105118,4.727388465,6,82,9,680,1013.993166,1,1,1,0,1,0,1,0,0,1,1
174.958118,20.89923386,5,74,8,136,2680.762173,0,0,0,1,1,1,1,0,0,1,0
267.664655,3.471329958,4,69,15,1517,1081.814362,1,0,1,0,1,1,0,1,1,1,1
162.483267,5.478588204,1,52,11,14103,1209.961168,1,0,0,1,1,1,1,0,1,0,0
229.993134,3.312991809,2,26,16,6394,897.5919144,1,0,1,0,1,1,1,1,1,0,1
140.00128,7.161561527,1,25,9,5059,1340.930156,1,1,0,1,1,1,0,1,0,0,0
184.964681,9.847563364,1,66,12,20450,1113.993679,1,0,1,0,1,1,1,0,1,0,1
147.473844,16.04202196,1,72,10,2123,1530.10769,1,0,1,0,1,0,1,1,0,0,0
172.457857,9.179779682,3,21,12,1164,1310.137419,0,0,1,0,1,0,1,1,0,1,0
107.481989,3.002844144,3,55,16,23,892.8964931,1,0,0,1,1,1,0,0,1,0,0
255.141716,3.924254455,4,41,11,895,1125.581944,1,0,1,0,1,1,0,0,1,1,1
192.456745,18.55959629,4,32,13,6699,2016.710031,1,1,1,0,1,0,0,0,1,0,1
242.632554,8.798394712,0,22,6,35743,1412.736809,1,0,1,0,1,1,0,0,0,1,1
245.174977,10.377366,2,44,5,320,1710.689671,1,1,0,0,1,1,1,1,0,1,1
184.964681,22.25746016,2,23,11,7870,2384.885909,1,0,1,0,1,1,1,0,1,0,1
195.006206,9.427146079,3,43,11,861,1213.940165,0,0,1,0,1,1,1,1,1,0,0
104.962874,7.760290062,1,86,11,15364,740.010722,1,0,0,0,1,0,0,0,0,1,0
92.488023,11.56938439,2,84,14,2589,897.9716153,0,1,0,0,1,0,0,0,1,0,0
184.979684,3.343811019,2,62,13,4901,1026.387172,1,0,0,1,1,0,0,1,1,0,1
187.656013,7.338869531,5,68,12,39649,1234.244324,1,0,0,0,1,0,0,1,0,1,1
149.962093,5.486534225,1,59,8,456,727.3731845,0,0,1,0,1,0,0,1,0,1,0
169.944668,1.55278221,0,31,6,94,452.8721504,0,0,1,0,1,0,0,0,0,1,0
160.00128,12.07970325,0,51,11,315,1296.674543,1,0,1,0,1,1,0,1,0,0,0
129.962093,13.98666226,1,58,11,4969,1840.628269,0,0,0,1,1,0,0,1,0,1,0
114.950905,9.563362997,1,73,11,46869,1324.330108,0,0,0,1,1,0,1,0,0,0,0
142.515576,6.732948946,1,33,11,58431,958.1397059,0,0,0,0,1,1,0,1,1,0,1
220.14775,15.72071086,1,58,15,26182,1868.864027,1,0,0,0,1,0,0,0,1,1,1
124.97808,7.233605493,0,49,9,694,676.712908,0,0,1,0,1,0,0,1,0,0,0
164.964681,2.871017037,1,26,12,3093,1086.990308,0,1,0,1,1,1,1,0,1,0,1
194.976769,2.344875382,1,25,10,2765,704.7540406,1,0,1,0,1,0,0,1,1,1,0
152.455519,7.960490246,0,42,14,3757,1416.444695,1,0,0,1,1,1,1,0,0,0,1
92.5018,12.25062113,1,81,15,4938,1095.950634,0,1,0,0,1,0,0,1,0,0,0
127.488728,9.634946079,1,43,13,3761,1083.610268,0,1,0,0,1,0,0,1,0,0,1
184.963371,7.916533093,2,63,14,1851,1570.641337,1,0,0,1,1,0,1,1,0,1,0
265.146969,4.471254161,3,70,11,38476,1007.425553,1,0,1,0,1,0,0,1,1,1,1
207.609354,10.79028074,1,78,19,13547,1323.028419,0,0,1,0,1,0,0,0,0,1,1
152.462354,12.24190682,0,48,17,7801,1808.730555,1,1,0,1,1,1,0,0,0,1,0
200.132293,2.203859443,1,63,18,17823,1120.241472,1,0,0,1,1,0,0,1,0,1,1
212.655686,23.92132231,4,60,12,20269,2676.789803,1,1,0,0,1,1,1,0,1,1,1
255.119794,3.7311787,0,87,17,30225,1268.086909,1,0,0,1,1,0,1,0,1,1,1
134.950905,7.980015371,3,54,9,5760,822.6771666,1,0,1,0,1,0,1,0,0,0,0
255.137219,9.190009376,3,35,9,61,1577.915603,1,0,1,0,1,0,1,1,1,1,1
214.966286,2.378630018,1,70,16,34359,648.7471776,0,0,1,0,1,0,1,1,0,0,1
270.160419,5.43464555,2,67,13,24693,1648.102673,1,1,0,1,1,1,1,1,1,1,1
200.165175,1.092361222,4,46,11,4235,768.0874545,0,0,0,0,0,0,0,1,1,1,1
149.937833,20.13981517,1,50,10,2193,2426.030626,0,0,0,1,1,0,1,0,0,0,1
240.114868,24.64873861,1,24,18,273,2660.503932,0,1,1,0,1,0,0,0,0,1,1
127.495766,9.677739656,0,20,17,14557,1129.549713,0,1,1,0,1,1,0,1,0,0,0
187.609354,9.82814183,1,29,13,17653,1771.286466,1,0,0,1,1,0,0,0,0,1,1
169.992756,7.832238337,0,31,6,285,943.3391244,1,0,1,0,1,0,0,1,1,0,0
192.456745,19.45250317,5,72,13,320,1907.226083,1,0,1,0,1,0,0,0,1,0,1
120.004928,14.34766616,4,71,10,2863,1885.939118,0,1,0,1,1,1,0,1,1,0,0
195.006206,2.257358355,2,32,11,1206,631.7435653,1,0,1,0,1,1,1,1,1,0,0
139.95684,2.358129018,0,33,15,35279,562.6095219,0,0,1,0,1,1,0,0,0,1,0
114.983787,4.650578623,3,67,12,1049,593.8572264,0,0,0,0,1,0,1,0,1,0,0
207.638588,3.721772616,0,66,13,32203,777.3060718,1,0,0,0,1,0,0,0,0,1,1
187.609354,3.76663012,4,21,12,25576,1393.202392,1,0,0,1,1,0,0,0,0,1,1
134.950905,4.151256695,0,61,13,319,393.6524652,1,1,1,0,1,0,1,0,0,0,0
192.470522,2.188918771,0,75,13,55519,409.7486664,0,0,1,0,1,0,0,1,0,0,1
222.628057,13.85488928,0,63,9,15210,2138.107161,1,1,0,1,0,0,1,1,0,1,1
162.468917,3.273341151,0,68,3,3499,443.984031,1,0,1,0,1,1,0,0,1,0,1
159.979358,19.75096265,2,32,7,14479,2481.385603,1,0,0,1,1,0,1,1,0,0,0
184.979684,18.38404445,0,76,7,4654,2233.567181,0,1,0,1,1,0,0,1,1,0,1
245.145743,4.672610857,0,29,13,26320,1158.91369,0,0,1,0,1,1,1,1,0,1,1
124.97808,6.796299371,0,83,17,35,529.40733,0,0,1,0,1,0,0,1,0,0,0
187.484705,12.97632235,10,23,14,521,1956.7337,0,0,1,0,1,1,1,1,1,1,0
162.500692,20.31163945,5,80,15,17600,2056.386979,0,0,1,0,1,1,1,1,1,0,0
182.467607,6.998814446,0,20,11,3324,1067.373076,0,0,1,0,1,0,0,1,0,1,0
