Churn,Children,Income,Outage_sec_perweek,Yearly_equip_failure,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,InternetService_DSL,InternetService_Fiber_Optic,Gender_Female,Marital_Divorced,Marital_Married,Marital_Never_Married,Marital_Separated,Contract_Monthly,Contract_One_Year
0,3,22660.2,8.420992898,1,1,1,1,1,1,0,0,1,0,7.000993555,0,0,1,0,0,1,0,0,1
0,3,45714.47,6.984819996,0,1,0,1,0,1,0,0,0,0,2.415991977,0,1,0,1,0,0,0,0,0
1,6,51960.51,8.774646693,0,1,0,0,1,0,0,1,1,1,4.727388465,0,1,1,1,0,0,0,1,0
0,1,36229.21,9.447065309,0,1,1,1,0,1,0,0,0,1,7.161561527,1,0,1,0,0,1,0,0,1
0,3,38211.37,11.42906608,0,1,0,0,1,1,0,1,0,1,9.179779682,0,1,1,1,0,0,0,1,0
0,3,52887.26,8.06137096,0,1,0,1,0,0,1,0,0,1,3.002844144,1,0,0,0,1,0,0,1,0
0,4,24090.62,8.255565152,0,1,1,0,0,0,1,0,1,1,18.559596290000002,0,1,0,0,0,1,0,0,0
1,2,54458.38,10.58349704,0,1,1,1,1,1,0,1,1,1,10.377366,0,0,1,1,0,0,0,1,0
1,3,37358.13,9.750038902,0,1,1,1,1,1,1,0,0,1,9.427146079,0,1,1,0,0,1,0,1,0
0,1,26534.16,7.868660851,2,1,0,0,0,0,0,1,0,0,7.760290062,0,0,1,0,0,0,1,0,0
0,1,38391.55,4.210347704,0,1,0,0,0,1,0,1,0,1,5.486534225,0,1,1,0,0,1,0,1,0
1,0,14364.65,9.03738856,0,1,1,1,0,1,0,0,0,1,12.07970325,0,1,0,0,0,0,0,1,0
0,2,71596.14,8.6026551,0,1,1,1,1,1,1,0,0,0,2.257358355,0,1,1,1,0,0,0,0,1
0,0,19815.63,11.59313893,2,1,0,0,1,0,0,0,0,1,4.151256695,0,1,1,0,0,1,0,0,1
1,0,58482.9,8.294186076,0,1,1,0,0,1,0,0,1,1,2.188918771,0,1,1,0,0,0,1,1,0
1,0,41656.53,15.19664016,0,0,0,0,1,1,0,1,1,1,13.85488928,1,0,1,0,0,0,0,1,0
0,0,81127.41,9.834012571,0,1,1,0,0,1,1,0,1,1,18.38404445,1,0,0,0,0,1,0,0,0
0,0,40211.04,14.4754365,1,1,1,0,0,1,0,1,0,1,6.998814446,0,1,0,0,0,1,0,0,1
0,1,43466.35,13.79409442,0,1,1,0,0,1,0,1,0,1,11.13472066,0,1,0,0,0,1,0,0,1
1,3,52616.27,6.716953195,1,1,1,0,1,1,0,1,0,0,3.823689744,0,1,0,0,0,0,0,1,0
0,1,55861.19,15.68043093,0,1,0,0,0,0,0,1,0,1,5.197446331,0,1,0,1,0,0,0,1,0
0,6,26282.4,9.807530479,0,1,1,0,0,1,0,0,0,1,6.311709178,1,0,1,0,1,0,0,0,1
0,2,51237.28,10.61217014,0,1,1,0,1,1,0,1,1,1,12.58298231,0,1,1,1,0,0,0,0,0
1,3,26130.78,4.539566699,0,1,1,0,1,1,0,1,1,1,4.799514433,0,0,0,1,0,0,0,0,1
0,3,54533.63,8.943293567,1,1,0,0,0,1,0,1,1,1,8.156552837,0,0,1,1,0,0,0,1,0
0,2,74679.84,11.64836306,1,1,1,0,0,0,0,0,0,0,7.2310320279999996,1,0,0,0,0,0,0,0,0
1,2,95028.57,6.076260652,0,1,1,0,0,1,0,1,1,1,4.627672042,0,0,0,0,0,0,1,1,0
1,5,9515.64,8.353693631,0,1,1,0,0,1,0,1,1,1,4.568682641,0,0,0,1,0,0,0,1,0
1,1,77531.43,2.310584634,0,1,1,0,1,0,1,1,0,0,8.574901206,1,0,1,1,0,0,0,1,0
1,0,32652.3,7.410590719,1,1,1,0,0,1,1,1,0,0,11.71637124,1,0,1,0,1,0,0,1,0
1,4,54895.16,14.62784306,0,1,0,1,1,0,1,0,1,0,7.006240694,0,0,1,0,1,0,0,1,0
0,1,33858.66,10.50187888,0,1,0,1,1,0,0,1,0,0,5.905906389,0,1,0,1,0,0,0,1,0
0,1,20624.31,6.985590245,1,1,0,1,1,0,1,1,0,1,5.969967132,0,1,0,1,0,0,0,0,0
0,0,46154.17,10.44249511,0,1,0,1,1,1,1,0,0,0,14.85781115,0,0,0,0,0,1,0,0,1
0,0,49277.48,12.81260566,0,1,1,1,0,0,0,1,0,1,19.48900163,0,1,1,0,0,0,0,0,1
0,2,14928.96,17.56798903,0,1,0,0,1,1,0,0,0,0,7.34059599,0,1,0,0,0,0,0,0,1
1,1,12779.23,12.53830949,1,1,1,0,0,0,0,1,1,0,15.64596698,0,1,1,1,0,0,0,1,0
1,0,77383.72,10.51043963,0,1,1,0,0,0,0,1,1,1,13.01107597,0,1,0,0,0,0,0,1,0
0,0,41531.03,7.045552801,0,1,0,1,0,1,0,0,1,1,7.007695148,1,0,1,0,1,0,0,0,0
1,4,11518.58,13.41209586,0,1,0,1,1,0,0,0,1,1,2.964559883,1,0,0,0,1,0,0,0,0
0,0,31065.17,14.89835355,1,1,0,1,1,0,1,1,0,0,10.25635754,0,1,1,0,0,1,0,1,0
1,0,30664.56,9.580144161,0,1,1,0,0,0,0,1,1,0,17.72593456,0,1,1,0,0,0,1,0,1
0,0,13612.16,12.63643487,0,1,0,1,1,1,1,1,1,1,19.83504645,0,0,0,0,0,1,0,1,0
0,2,53019.98,11.08409914,1,1,0,0,0,0,1,1,0,0,15.94935291,0,0,0,0,0,1,0,1,0
0,1,11301.4,9.84688181,0,1,1,1,1,1,1,1,0,0,4.95598008,1,0,1,1,0,0,0,0,1
0,1,45146.99,12.0772854,1,1,0,0,1,0,0,0,0,0,2.581692044,0,1,1,0,0,1,0,0,0
1,1,52129.84,9.513085538,0,1,1,0,1,1,1,1,1,1,5.049303717,1,0,0,1,0,0,0,1,0
1,0,99195.08,7.913676085,0,1,1,0,1,1,0,0,1,1,9.405224809,1,0,1,0,1,0,0,0,1
0,0,79993.43,11.17709222,2,1,1,0,1,1,0,0,0,0,23.12150846,0,0,1,1,0,0,0,1,0
0,2,22466.53,7.799780591,0,1,1,1,1,0,0,0,0,1,12.73622643,0,0,0,0,1,0,0,0,1
1,0,27235.54,9.321265424,0,1,0,0,1,1,0,1,1,0,15.28108311,0,0,1,0,0,0,0,1,0
1,0,75042.1,3.11231175,1,1,1,0,0,0,1,1,1,1,6.549035393,1,0,1,0,0,0,1,0,0
1,7,91001.1,8.284591121,0,1,0,0,1,1,0,1,1,1,10.57197066,0,1,0,0,0,0,0,1,0
1,0,48314.4,11.2714618,0,1,1,0,1,1,1,1,1,0,11.45675389,0,1,0,0,0,0,1,1,0
