Churn,Tenure,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Population,Age,Income,Children,Timely_Response,Timely_Fixes,Timely_Replacements,Reliability,Options,Respectful_Response,Courteous_Exchange,Active_Listening,Gender_Female,Marital_Divorced,Marital_Married,Marital_Never_Married,Marital_Separated,Phone,Multiple,InternetService_Fiber_Optic,InternetService_DSL,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_Monthly,Contract_One_Year,PaperlessBilling
0,6.795512947,7.978322947,10,0,1,38,68,28561.99,0,5,5,5,3,4,4,3,4,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1
1,1.156680997,11.69907956,12,0,1,10446,27,21704.77,1,3,4,3,3,4,3,4,4,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1
0,15.75414408,10.75280028,9,0,1,3735,50,9609.57,4,4,4,2,4,4,3,3,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1
0,17.08722662,14.91353964,15,2,0,13863,48,18925.23,1,4,4,4,2,5,4,3,3,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
1,1.670971726,8.147416533,16,2,1,11352,83,40074.19,0,4,4,4,3,4,4,4,5,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
0,7.000993555,8.420992898,15,3,1,17701,83,22660.2,3,3,3,3,2,4,3,3,3,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0
1,13.23677381,11.18272453,10,0,1,2535,79,11467.5,0,6,5,6,4,1,5,5,5,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0
1,4.26425515,7.791632265,16,0,0,23144,30,26759.64,2,2,2,2,5,2,3,4,5,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
0,3.422086139,8.707823904,18,1,0,20193,86,50231.4,1,2,2,2,2,5,2,3,3,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,19.26726194,9.341631685,9,0,2,555,23,22580.7,7,4,4,4,7,3,3,3,4,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0
0,10.52199781,6.68082638,17,1,1,33372,56,18342.12,2,4,4,3,4,4,4,3,4,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
0,13.01149229,8.273875452,9,0,0,556,83,83671.08,0,1,2,1,4,3,2,3,3,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
1,10.06019902,11.79073041,10,3,0,8165,30,64256.81,1,3,3,4,2,3,4,4,2,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
1,13.87001293,10.79846973,13,1,0,2093,39,89061.45,3,3,3,3,2,4,3,5,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1
1,15.78214958,13.52284721,13,1,0,50079,63,31659.3,0,3,4,4,3,5,4,4,3,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1
1,2.303331273,9.831166695,16,3,0,7249,60,44142.81,2,2,2,4,3,3,4,3,3,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0
0,17.10995632,9.57470568,11,1,0,9463,61,39262.14,3,3,4,3,4,3,2,3,5,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1
1,12.80615845,10.92246098,10,1,0,3177,23,19494.75,3,5,5,5,4,4,4,3,3,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1
0,2.415991977,6.984819996,18,1,0,14440,30,45714.47,3,5,5,4,4,3,4,3,5,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
0,6.652298992,9.372975594,16,1,1,381,52,27442.03,3,3,3,3,2,2,3,5,5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
0,8.543717478,7.109002592,9,0,0,2193,68,79699.62,2,4,4,3,5,3,4,4,3,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1
1,5.770390256,13.74777955,15,1,0,9434,75,28520.32,3,3,3,4,2,4,4,3,4,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0
1,4.157658837,9.767668044,12,1,0,29568,77,12558.83,1,4,4,4,4,2,4,5,5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
1,10.40566091,15.8626095,15,0,1,3089,47,8762.23,1,5,3,5,3,3,5,4,4,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0
1,1.392421597,14.73616645,12,0,0,5652,70,43882.72,0,2,2,3,4,4,2,2,2,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1
1,1.430386349,13.43558029,13,2,0,1716,20,10482.52,3,3,4,3,3,2,4,4,2,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0
1,5.425864884,10.61771118,18,1,0,52484,69,33442.79,4,4,4,4,3,2,5,5,4,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1
0,3.586184954,4.450171647,13,2,0,1765,40,21793.88,0,2,3,4,3,3,2,4,3,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
1,4.727388465,8.774646693,9,0,0,680,82,51960.51,6,4,4,4,5,2,5,3,5,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1
1,20.89923386,11.13156721,8,1,1,136,74,25942.1,5,5,5,4,3,5,3,4,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0
1,3.471329958,5.540788887,15,1,0,1517,69,11211.59,4,6,5,5,5,2,6,5,5,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0
1,5.478588204,13.80362698,11,0,1,14103,52,8283.29,1,4,2,3,4,3,3,4,3,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1
1,3.312991809,16.31017089,16,1,1,6394,26,10114.81,2,4,3,5,5,2,4,5,5,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1
0,7.161561527,9.447065309,9,2,0,5059,25,36229.21,1,5,6,4,2,5,3,3,3,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1
0,9.847563364,16.84100845,12,1,0,20450,66,25397.44,1,4,4,3,4,2,4,4,5,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0
0,16.04202196,7.972937227,10,1,1,2123,72,50336.5,1,3,4,3,6,4,4,6,2,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
0,9.179779682,11.42906608,12,1,0,1164,21,38211.37,3,5,2,3,3,3,5,4,4,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1
0,3.002844144,8.06137096,16,2,0,23,55,52887.26,3,3,3,2,3,5,4,3,3,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1
1,3.924254455,12.54780492,11,1,2,895,41,12003.33,4,3,3,3,5,1,4,3,4,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0
0,18.559596290000002,8.255565152,13,0,0,6699,32,24090.62,4,3,3,3,3,4,3,3,4,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1
1,8.798394712,13.156514,6,0,0,35743,22,15137.93,0,4,4,4,4,3,4,3,4,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1
1,10.377366,10.58349704,5,1,0,320,44,54458.38,2,3,3,2,2,4,3,5,2,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1
1,9.427146079,9.750038902,11,1,0,861,43,37358.13,3,4,5,3,4,3,3,4,3,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1
0,7.760290062,7.868660851,11,2,2,15364,86,26534.16,1,3,4,3,2,3,3,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
0,11.56938439,12.43563329,14,0,1,2589,84,76430.83,2,3,3,4,3,5,3,3,4,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,3.343811019,8.957166926,13,3,0,4901,62,4662.37,2,2,2,3,4,3,5,2,4,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0
1,7.338869531,8.015021713,12,1,0,39649,68,43820.85,5,2,3,3,5,4,2,3,2,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1
0,5.486534225,4.210347704,8,0,0,456,59,38391.55,1,4,4,4,3,4,2,5,4,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1
1,1.55278221,11.13960534,6,0,0,94,31,44137.6,0,4,4,3,4,4,4,2,3,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1
1,12.07970325,9.03738856,11,2,0,315,51,14364.65,0,4,2,4,5,4,3,3,4,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1
0,13.98666226,10.91594785,11,1,1,4969,58,62359.91,1,3,4,3,6,3,4,5,3,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0
1,9.563362997,8.387624096,11,0,1,46869,73,82634.86,1,5,4,3,5,3,3,5,4,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
0,6.732948946,11.4487514,11,0,1,58431,33,15690.25,1,4,5,5,5,4,4,4,5,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1
