Churn,Tenure,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Population,Age,Income,Children,Timely_Response,Timely_Fixes,Timely_Replacements,Reliability,Options,Respectful_Response,Courteous_Exchange,Active_Listening,Gender_Female,Marital_Divorced,Marital_Married,Marital_Never_Married,Marital_Separated,Phone,Multiple,InternetService_Fiber_Optic,InternetService_DSL,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_Monthly,Contract_One_Year,PaperlessBilling
0,7.000993555,8.420992898,15,3,1,17701,83,22660.2,3,3,3,3,2,4,3,3,3,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0
0,2.415991977,6.984819996,18,1,0,14440,30,45714.47,3,5,5,4,4,3,4,3,5,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
1,4.727388465,8.774646693,9,0,0,680,82,51960.51,6,4,4,4,5,2,5,3,5,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1
0,7.161561527,9.447065309,9,2,0,5059,25,36229.21,1,5,6,4,2,5,3,3,3,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1
0,9.179779682,11.42906608,12,1,0,1164,21,38211.37,3,5,2,3,3,3,5,4,4,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1
0,3.002844144,8.06137096,16,2,0,23,55,52887.26,3,3,3,2,3,5,4,3,3,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1
0,18.559596290000002,8.255565152,13,0,0,6699,32,24090.62,4,3,3,3,3,4,3,3,4,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1
1,10.377366,10.58349704,5,1,0,320,44,54458.38,2,3,3,2,2,4,3,5,2,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1
1,9.427146079,9.750038902,11,1,0,861,43,37358.13,3,4,5,3,4,3,3,4,3,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1
0,7.760290062,7.868660851,11,2,2,15364,86,26534.16,1,3,4,3,2,3,3,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
0,5.486534225,4.210347704,8,0,0,456,59,38391.55,1,4,4,4,3,4,2,5,4,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1
1,12.07970325,9.03738856,11,2,0,315,51,14364.65,0,4,2,4,5,4,3,3,4,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1
