Churn,Children,Income,Outage_sec_perweek,Yearly_equip_failure,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,InternetService_DSL,InternetService_Fiber_Optic,Gender_Female,Marital_Divorced,Marital_Married,Marital_Never_Married,Marital_Separated,Contract_Monthly,Contract_One_Year
0,0,28561.99,7.978322947,1,1,0,1,1,0,0,0,1,1,6.795512947,0,1,0,0,0,0,0,0,1
1,1,21704.77,11.69907956,1,1,1,1,0,0,0,1,1,1,1.156680997,0,1,1,0,1,0,0,1,0
0,4,9609.57,10.75280028,1,1,1,0,0,0,0,0,1,1,15.75414408,1,0,1,0,0,0,0,0,0
0,1,18925.23,14.91353964,0,1,0,1,0,0,0,1,0,1,17.08722662,1,0,0,0,1,0,0,0,0
1,0,40074.19,8.147416533,1,0,0,0,0,0,1,1,0,0,1.670971726,0,1,0,0,0,0,1,1,0
1,0,11467.5,11.18272453,1,1,0,0,0,0,1,1,1,0,13.23677381,1,0,0,0,0,0,0,1,0
1,2,26759.64,7.791632265,0,0,0,0,1,0,0,0,0,1,4.26425515,1,0,1,0,1,0,0,1,0
0,1,50231.4,8.707823904,0,1,0,1,0,1,0,0,1,1,3.422086139,0,1,1,0,1,0,0,0,0
0,7,22580.7,9.341631685,2,1,1,1,1,0,0,1,0,0,19.26726194,1,0,1,0,0,0,1,1,0
0,2,18342.12,6.68082638,1,1,0,0,0,1,0,1,0,0,10.52199781,0,1,1,0,1,0,0,1,0
0,0,83671.08,8.273875452,0,1,0,0,0,0,0,1,0,0,13.01149229,0,1,0,1,0,0,0,1,0
1,1,64256.81,11.79073041,0,0,1,0,1,0,1,0,0,1,10.06019902,1,0,0,0,0,0,1,1,0
1,3,89061.45,10.79846973,0,1,0,1,0,0,0,1,1,1,13.87001293,0,0,0,1,0,0,0,0,1
1,0,31659.3,13.52284721,0,1,1,0,1,1,0,0,1,1,15.78214958,1,0,1,0,1,0,0,1,0
1,2,44142.81,9.831166695,0,1,0,1,0,1,1,1,1,0,2.303331273,0,0,0,0,0,0,1,0,0
0,3,39262.14,9.57470568,0,1,0,0,1,1,1,1,0,1,17.10995632,0,0,1,0,0,0,0,0,0
1,3,19494.75,10.92246098,0,1,1,0,0,0,0,1,0,1,12.80615845,1,0,0,1,0,0,0,1,0
0,3,27442.03,9.372975594,1,1,0,0,0,0,1,0,0,1,6.652298992,0,1,0,0,0,0,0,1,0
0,2,79699.62,7.109002592,0,1,0,0,0,0,1,1,0,1,8.543717478,0,1,0,1,0,0,0,0,1
1,3,28520.32,13.74777955,0,1,1,1,0,1,0,0,1,0,5.770390256,0,0,1,0,0,0,0,1,0
1,1,12558.83,9.767668044,0,1,0,0,0,0,0,0,0,0,4.157658837,1,0,0,0,0,0,1,1,0
1,1,8762.23,15.8626095,1,1,0,1,0,1,0,1,1,0,10.40566091,0,1,1,0,1,0,0,1,0
1,0,43882.72,14.73616645,0,1,0,0,1,1,0,1,0,1,1.392421597,0,0,1,0,0,0,0,1,0
1,3,10482.52,13.43558029,0,1,0,0,0,1,0,1,1,0,1.430386349,1,0,1,0,0,0,1,0,1
1,4,33442.79,10.61771118,0,1,1,1,1,1,0,1,1,1,5.425864884,1,0,0,0,0,1,0,0,0
0,0,21793.88,4.450171647,0,1,1,0,1,0,1,0,0,0,3.586184954,0,0,1,0,0,1,0,0,0
1,5,25942.1,11.13156721,1,1,1,1,1,0,0,1,0,0,20.89923386,1,0,0,0,0,0,1,1,0
1,4,11211.59,5.540788887,0,1,1,1,0,1,1,1,1,0,3.471329958,0,1,0,0,0,0,0,0,1
1,1,8283.29,13.80362698,1,1,1,1,1,0,1,0,0,1,5.478588204,1,0,0,0,0,1,0,1,0
1,2,10114.81,16.31017089,1,1,1,1,1,1,1,0,1,1,3.312991809,0,1,1,0,0,1,0,1,0
0,1,25397.44,16.84100845,0,1,0,1,1,0,1,0,1,0,9.847563364,0,1,1,1,0,0,0,0,0
0,1,50336.5,7.972937227,1,1,0,0,1,1,0,0,0,0,16.04202196,0,1,0,1,0,0,0,0,0
1,4,12003.33,12.54780492,2,1,1,1,0,0,1,1,1,0,3.924254455,0,1,0,1,0,0,0,0,0
1,0,15137.93,13.156514,0,1,1,1,0,0,0,1,1,1,8.798394712,0,1,1,0,0,1,0,0,0
0,2,76430.83,12.43563329,1,1,0,0,0,0,1,0,0,1,11.56938439,0,0,1,0,1,0,0,1,0
1,2,4662.37,8.957166926,0,1,1,0,0,1,1,0,1,0,3.343811019,1,0,1,0,0,0,1,1,0
1,5,43820.85,8.015021713,0,1,0,0,0,1,0,1,1,1,7.338869531,0,0,1,1,0,0,0,1,0
1,0,44137.6,11.13960534,0,1,1,0,0,0,0,1,0,1,1.55278221,0,1,1,0,0,0,1,0,1
0,1,62359.91,10.91594785,1,1,0,0,0,1,0,1,0,0,13.98666226,1,0,1,0,0,0,1,0,1
1,1,82634.86,8.387624096,1,1,0,0,1,0,0,0,0,1,9.563362997,1,0,0,0,1,0,0,1,0
0,1,15690.25,11.4487514,1,1,0,1,0,1,1,0,1,1,6.732948946,0,0,1,0,0,0,0,0,0
1,1,14568.7,10.22013704,0,1,1,0,0,0,1,1,1,1,15.72071086,0,0,0,0,0,0,1,0,0
0,0,29207.46,8.425458142,0,1,0,0,0,1,0,0,0,1,7.233605493,0,1,1,0,0,1,0,0,0
0,1,55319.23,8.386280619,0,1,0,1,1,0,1,0,1,1,2.871017037,1,0,1,0,0,1,0,0,1
0,1,81831.49,9.565924291,0,1,1,0,0,1,1,1,0,0,2.344875382,0,1,0,0,0,0,0,1,0
1,0,100076.65,10.79349982,0,1,0,1,1,0,0,0,1,1,7.960490246,1,0,1,0,0,0,1,1,0
0,1,69965.65,6.081975067,0,1,0,0,0,1,0,0,0,0,12.25062113,0,0,0,0,0,0,0,1,0
0,1,34883.69,13.55065547,0,1,0,0,0,1,0,0,1,1,9.634946079,0,0,1,1,0,0,0,1,0
0,2,45634.2,9.470419821,0,1,1,0,1,1,0,1,0,0,7.916533093,1,0,0,0,0,1,0,0,0
1,3,10964.73,6.194985909,1,1,1,0,0,1,1,1,1,1,4.471254161,0,1,1,0,1,0,0,1,0
1,1,22365.28,10.80393657,0,1,0,0,0,0,0,1,1,0,10.79028074,0,1,0,0,0,0,0,1,0
