Customer_id,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
K409198,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes
S120509,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes
K191035,DSL,Yes,Yes,No,No,No,No,No,Yes
D90850,DSL,Yes,No,Yes,No,No,No,Yes,No
K662701,Fiber Optic,No,No,No,No,No,Yes,Yes,No
W303516,None,Yes,Yes,Yes,Yes,Yes,No,No,Yes
U335188,DSL,Yes,No,No,No,No,Yes,Yes,Yes
V538685,DSL,No,No,No,Yes,No,No,No,No
M716771,DSL,Yes,No,Yes,Yes,No,No,No,No
I676080,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes
J980369,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No
E243720,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No
F139569,Fiber Optic,Yes,No,No,No,No,No,Yes,No
X44200,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No
H68068,DSL,No,Yes,No,Yes,No,Yes,No,No
A403906,None,Yes,No,Yes,No,No,No,Yes,Yes
V847470,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes
F721878,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes
F487435,None,Yes,No,No,Yes,Yes,Yes,Yes,No
B561228,DSL,Yes,Yes,No,No,No,No,Yes,No
X325271,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes
I282896,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No
I367206,Fiber Optic,Yes,No,No,No,No,Yes,No,No
N37182,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No
U644626,None,Yes,Yes,Yes,No,Yes,No,No,Yes
A766555,DSL,Yes,No,No,No,No,No,No,No
V54032,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes
Z301326,None,Yes,No,No,Yes,Yes,No,Yes,No
J887250,DSL,Yes,No,No,No,Yes,No,Yes,Yes
Z686376,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
L357432,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes
V899967,None,Yes,Yes,No,Yes,No,Yes,No,No
G571225,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes
S381541,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No
R195593,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
I327596,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No
U790894,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
O739489,DSL,Yes,Yes,Yes,No,Yes,No,No,No
I958127,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes
Z666770,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No
X711438,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No
U369541,DSL,Yes,No,Yes,No,No,Yes,No,No
S896111,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes
K227200,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes
E818912,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes
Y490834,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
B609739,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes
E687638,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No
E492264,None,Yes,No,No,No,No,No,Yes,No
W255321,None,Yes,No,No,No,No,Yes,No,No
S72442,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes
O845020,None,Yes,No,No,No,Yes,No,Yes,Yes
D805597,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No
R189303,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No
N142854,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No
F522569,DSL,Yes,No,No,No,Yes,No,Yes,No
L384793,DSL,Yes,No,No,Yes,No,No,No,No
C101444,None,Yes,No,Yes,No,Yes,Yes,No,Yes
E987442,None,Yes,Yes,No,No,No,Yes,Yes,Yes
L54611,Fiber Optic,Yes,No,No,No,Yes,No,No,No
L85018,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes
O942919,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No
I167253,DSL,Yes,No,Yes,Yes,No,No,No,Yes
R110564,None,Yes,No,No,No,Yes,No,No,No
M278354,None,Yes,No,No,No,Yes,No,No,Yes
W604879,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No
X345797,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes
N189653,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes
M562102,DSL,Yes,Yes,Yes,No,No,No,Yes,No
X67911,DSL,Yes,No,No,No,Yes,No,Yes,Yes
O834546,None,Yes,No,Yes,Yes,No,Yes,Yes,Yes
I493092,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes
H787644,Fiber Optic,Yes,No,No,Yes,No,No,No,No
N582710,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes
T689606,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Yes
E330599,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
C641592,None,No,No,No,No,Yes,Yes,Yes,Yes
E24772,DSL,Yes,No,No,Yes,No,No,No,Yes
A889769,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes
G391761,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No
A606860,DSL,Yes,No,No,No,No,No,Yes,Yes
E186097,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No
I627613,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes
Z188641,DSL,Yes,No,Yes,No,Yes,Yes,No,No
A740543,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No
W681476,Fiber Optic,Yes,No,Yes,No,No,No,Yes,No
G842176,None,Yes,No,No,Yes,No,Yes,No,No
Z852663,None,Yes,Yes,No,No,No,No,Yes,Yes
