Sentiment,Clean_Review
0,"['slow', 'moving', 'aimless', 'movie', 'distressed', 'drifting', 'young', 'man']"
0,"['not', 'sure', 'lost', 'flat', 'character', 'audience', 'nearly', 'half', 'walked']"
0,"['attempting', 'artiness', 'black', 'white', 'clever', 'camera', 'angle', 'movie', 'disappointed', 'became', 'even', 'ridiculous', 'acting', 'poor', 'plot', 'line', 'almost', 'non', 'existent']"
0,"['little', 'music', 'anything', 'speak']"
1,"['best', 'scene', 'movie', 'gerardo', 'trying', 'find', 'song', 'keep', 'running', 'head']"
0,"['rest', 'movie', 'lack', 'art', 'charm', 'meaning', 'emptiness', 'work', 'guess', 'empty']"
0,"['wasted', 'two', 'hour']"
1,"['saw', 'movie', 'today', 'thought', 'good', 'effort', 'good', 'message', 'kid']"
0,"['bit', 'predictable']"
1,"['loved', 'casting', 'jimmy', 'buffet', 'science', 'teacher']"
1,"['baby', 'owl', 'adorable']"
1,"['movie', 'showed', 'lot', 'florida', 'best', 'made', 'look', 'appealing']"
1,"['song', 'best', 'muppets', 'hilarious']"
1,['cool']
1,"['right', 'case', 'movie', 'delivers', 'everything', 'almost', 'right', 'face']"
0,"['average', 'acting', 'main', 'person', 'low', 'budget', 'clearly', 'see']"
1,"['review', 'long', 'overdue', 'since', 'consider', 'tale', 'two', 'sister', 'single', 'greatest', 'film', 'ever', 'made']"
1,"['put', 'gem', 'movie', 'term', 'screenplay', 'cinematography', 'acting', 'post', 'production', 'editing', 'directing', 'aspect', 'film', 'making']"
1,"['practically', 'perfect', 'true', 'masterpiece', 'sea', 'faux', 'masterpiece']"
1,"['structure', 'film', 'easily', 'tightly', 'constructed', 'history', 'cinema']"
1,"['think', 'no', 'film', 'something', 'vitally', 'important', 'occurs', 'every', 'minute']"
1,"['word', 'content', 'level', 'film', 'enough', 'easily', 'fill', 'dozen', 'film']"
1,"['how', 'anyone', 'right', 'mind', 'ask', 'anything', 'movie']"
1,"['quite', 'simply', 'highest', 'superlative', 'form', 'cinema', 'imaginable']"
1,"['yes', 'film', 'doe', 'require', 'rather', 'significant', 'amount', 'puzzle', 'solving', 'but', 'piece', 'fit', 'together', 'create', 'beautiful', 'picture']"
0,"['short', 'film', 'certainly', 'pull', 'no', 'punch']"
0,"['graphic', 'far', 'best', 'part', 'game']"
1,"['number', 'one', 'best', 'th', 'game', 'series']"
1,"['deserves', 'strong', 'love']"
1,"['insane', 'game']"
1,"['massive', 'level', 'massive', 'unlockable', 'character', 'just', 'massive', 'game']"
1,"['waste', 'money', 'game']"
1,"['kind', 'money', 'wasted', 'properly']"
1,"['actually', 'graphic', 'good', 'time']"
0,"['today', 'graphic', 'crap']"
1,"['say', 'canada', 'fun', 'game', 'aye']"
1,"['game', 'rock']"
1,"['buy', 'play', 'enjoy', 'love']"
1,"['pure', 'brilliance']"
0,"['flick', 'doomed', 'conception']"
0,"['idea', 'lame', 'take', 'minor', 'character', 'mediocre', 'pg', '13', 'film', 'make', 'complete', 'non', 'sequel', 'changing', 'tone', 'pg', 'rated', 'family', 'movie']"
0,"['wasn', 'least', 'bit', 'interested']"
0,"['not', 'confirm', 'film', 'would', 'unfunny', 'generic', 'but', 'also', 'managed', 'give', 'away', 'entire', 'movie', 'not', 'exaggerating', 'every', 'moment', 'every', 'plot', 'point', 'every', 'joke', 'told', 'trailer']"
0,"['but', 'just', 'not', 'funny']"
0,"['but', 'even', 'talented', 'carrell', 'save']"
0,"['co', 'star', 'don', 'fare', 'much', 'better', 'people', 'like', 'morgan', 'freeman', 'jonah', 'hill', 'ed', 'helm', 'just', 'wasted']"
0,"['story', 'just', 'predictable', 'lazy']"
0,"['real', 'effect', 'work', 'presence', 'animal', 'integration', 'scene', 'worst', 'obvious', 'blue', 'green', 'screen', 'work', 'ever', 'seen']"
0,"['but', 'whatever', 'cost', 'much', 'didn', 'translate', 'quality', 'sure']"
1,"['film', 'succeeds', 'despite', 'perhaps', 'obviously', 'meagre', 'budget']"
1,"['glad', 'film', 'didn', 'go', 'obvious', 'choice', 'lesser', 'film', 'certainly', 'would']"
1,"['addition', 'one', 'lovely', 'song', 'ever', 'written', 'french', 'cancan', 'also', 'boast', 'one', 'cutest', 'leading', 'lady', 'ever', 'grace', 'screen']"
1,"['hard', 'not', 'fall', 'head', 'heel', 'love', 'girl']"
0,"['negative', 'insipid', 'enough', 'cause', 'regret', 'another', '2', 'hour', 'life', 'wasted', 'front', 'screen']"
0,"['long', 'whiny', 'pointless']"
0,"['but', 'recommend', 'waiting', 'future', 'effort', 'let', 'one', 'go']"
1,"['excellent', 'cast', 'story', 'line', 'performance']"
1,"['totally', 'believable']"
1,"['anne', 'heche', 'utterly', 'convincing']"
1,"['sam', 'shepard', 'portrayal', 'gung', 'ho', 'marine', 'sobering']"
1,"['sat', 'riveted', 'tv', 'screen']"
1,"['give', 'one', 'resounding', '9', '10']"
1,"['think', 'tom', 'hank', 'good', 'actor']"
1,"['enjoyed', 'reading', 'book', 'child', 'little']"
0,"['disappointed', 'movie']"
0,"['one', 'character', 'totally', 'annoying', 'voice', 'give', 'feeling', 'fingernail', 'chalkboard']"
0,"['totally', 'unnecessary', 'train', 'roller', 'coaster', 'scene']"
0,"['absolutely', 'no', 'warmth', 'charm', 'scene', 'character']"
0,"['movie', 'totally', 'grate', 'nerve']"
